#,Country,#.1,Artist,Song,Language,Place,Score,Eurovision Number,Year,Host Country,Host City,Lyrics,Lyrics translation,love,hope,heartbreak,party / celebration,war or conflict,nostalgia,empowerment,loneliness,nature,spirituality
1,Netherlands,1,Jetty Paerl,De vogels van Holland,Dutch,-,-,1,1956,Switzerland,Lugano,"De vogels van Holland zijn zo muzikaal
Ze leren in hun prille jeugd al tierelieren
De merel, de lijster en de nachtegaal
Om zo de lente in Holland goed te kunnen vieren

Het is geen wonder, want nergens
Zijn de plassen zo blauw
Als in Holland - mijnheer
Als in Holland - mevrouw
Het is geen wonder, want nergens
Is het gras zo vol dauw
Zijn de meisjes zo lief
Zijn de meisjes zo trouw
En daarom zijn de vogels hier allemaal
Zo muzikaal, zo muzikaal, zo muzikaal

De hele wereld door heb ik vogels horen zingen
In het zuiden, in het westen, in het noorden
In vele verre landen heb ik vogels horen zingen
Zij zingen kleine liedjes zonder woorden

De Franse vogels zingen ""tudeludelu""
Japanse vogels zingen ""tudeludelu""
Chinese vogels zingen ""tudeludelu""
Maar de vogels zingen nergens
Zo gelukkig en blij
Als in Holland in het voorjaar in de wei

De vogels van Holland zijn zo muzikaal
Ze leren in hun prille jeugd al tierelieren
De merel, de lijster en de nachtegaal
Om zo de lente in Holland goed te kunnen vieren

Het is geen wonder, want nergens
Zijn de plassen zo blauw
Als in Holland - mijnheer
Als in Holland - mevrouw
Het is geen wonder, want nergens
Is het gras zo vol dauw
Zijn de meisjes zo lief
Zijn de meisjes zo trouw
En daarom zijn de vogels hier allemaal
Zo muzikaal, zo muzikaal, zo muzikaal","The birds of Holland are so musical
They already learn to twitter in their early youth
The blackbird, the thrush and the nightingale
So they can celebrate spring in Holland It's no wonder, because nowhere the puddles are so blue
As in Holland, sir
As in Holland, madam
It's no wonder, because nowhere the grass is so full of dew Are the girls so sweet, are the girls so faithfull
And that's why all the birds here are
So musical, So musical, So musical Across the whole world I've heard birds sing
To the south, to the west, to the north
In many faraway countries I've heard birds sing
They sing little songs without words The French birds sing toodledoo
Japanese birds sing toodledoo
Chinese birds sing toodledoo
But nowhere the birds sing so happily and cheerfully
As in Holland in spring in the meadow The birds of Holland are so musical
They already learn to twitter in their early youth
The blackbird, the thrush and the nightingale
So they can celebrate the spring in Holland It's no wonder, because nowhere the puddles are so blue
 As in Holland, sir
 As in Holland, madam
It's no wonder, because nowhere the grass is so full of dew Are the girls so sweet, are the girls so faithfull
And that's why all the birds here are
So musical, So musical, So musical",0.9116036295890808,0.8651101589202881,0.0028952136635780334,0.8438950777053833,0.23222307860851288,0.38931432366371155,0.7602948546409607,0.060751911252737045,0.9383150935173035,0.5643385648727417
2,Switzerland,1,Lys Assia,Das alte Karussell,German,-,-,1,1956,Switzerland,Lugano,"Das alte Karussell
Das geht nicht mehr so schnell
Die Pferdchen und die Wagen
Die wollen nicht von der Stell

Da hilft auch kein Flattieren
Und auch kein Neulackieren
Da hilft nur noch das eine
Man muss es einmal schmieren

Und auch das alte Orgelspiel
Das piepst wie eine Maus
Und manchmal wird es ihm zu viel
Dann setzt es einfach aus

Das alte Karussell
Das geht nicht mehr so schnell
Die Pferdchen und die Wagen
Die wollen nicht von der Stell

Die kleinen und großen
Sie ziehen und stoßen
Und so geht es im Kreise herum

Die Pferdchen, die traben
Und ziehen an den Wagen
Und die Orgel, die wird wieder jung

Ein komischer Gesell
Dieses alte Karussell
Von unten bis oben
Ist alles verschoben
Doch im Kreis geht es
Doch noch herum

Das alte Karussell
Das geht nicht mehr so schnell
Die Pferdchen und die Wagen
Die wollen nicht von der Stell

Das alte Karussell
Uh...
Das alte Karussell","The old carousel
It doesn't go as fast anymore
The ponies and the wagones
They don't want to get going flattering doesn't help either
And neither does putting up new boards
there is only one thing that does help:
Once in a while it has to be greased And also the old organ
It squeaks like a mouse
And sometimes it can't take it anymore
Then it just turns off The old carousel
It doesn't go as fast anymore
The phonies and the wagons
They don't want to get going The small ones and the large ones
They pull and push
And that way it goes round in circles The ponies are trotting
And pulling on the wagons
And the organ is getting young again A funny thing
This old carousel
From down to above everything is shifted
But it still goes round in a circiel The old carousel
It doesn't go as fast anymore
The ponies and the wagons
They don't want to get going The old carousel, ooh......
The old carousel",0.7846904993057251,0.9691641330718994,0.4943850040435791,0.9552323818206787,0.7217432260513306,0.9650285840034485,0.8166989684104919,0.6772071719169617,0.8827978372573853,0.47073662281036377
3,Belgium,1,Fud Leclerc,Messieurs les noyés de la Seine,French,-,-,1,1956,Switzerland,Lugano,"Messieurs les noyés de la Seine
Ouvrez-moi les portes de l'eau
Je suis fatigué d'user mes semaines
Sur le pavé noir de Puteaux

Messieurs les noyés de la Seine
Ouvrez-moi les portes de l'eau
J'ai tant voyagé sous son ciel de laine
Que le vent m'a brûlé la peau

Je suis depuis toujours
Marié à la misère
Je n'ai connu l'amour
Que sur un lit de pierre

Le soleil pour les riches
La lune pour les gueux
Pourquoi - si tout le monde triche
Jouer encore le jeu?

Messieurs les noyés de la Seine
Ouvrez-moi les portes de l'eau
Je suis fatigué de n'avoir pour ciel
Que les ponts rouillés de Puteaux

Messieurs les noyés de la Seine
J'ai tant regardé les bateaux
Que d'Aubervilliers jusqu'à Bourg-la-Reine
Je porte Paris sur mon dos

La fille que j'aimais
Ne m'a jamais aimé
Les copains que j'avais
M'ont tous abandonné

Je fais le tour du monde
Pour trouver le printemps
Mais comme la terre est ronde
Ça peut durer longtemps

Messieurs les noyés de la Seine
Ouvrez-moi les portes de l'eau
Je suis fatigué de voir la dégaine
Des enfants trahis de Puteaux

Messieurs les noyés de la Seine
Paris me doit bien un berceau
Je m'endormirais sans amour ni haine
Entre ses bras de sable et d'eau","Ye drowned men of the river Seine (1)
Open the water gates for me
I'm tired of spending my weeks
On the black paving of Puteaux (2) Ye drowned men of the river Seine
Open the water gates for me
I've been travelling so long under its woollen sky
So the wind has burnt my skin I'm married to misery forever
I've never known better than love on a stone bed
The sun for the rich, the moon for the clochards
Why playing the game, when everyone cheats? Ye drowned men of the river Seine
Open the water gates for me
I'm tired of only having for heaven
The rusty bridges of Puteaux Ye drowned men of the river Seine
I've watched the boats so much
That from Aubervilliers to Bourg-la-Reine (3)(4)
I'm carrying Paris on my back The girl I loved, never loved me
The friends I had, have all left me
I'm travelling around the world to find springtime
But since the earth is round, it might take a long time Ye drowned men of the river Seine
Open the water gates for me
 I'm tired of watching the strange appearance
Of the betrayed children of Puteaux Ye drowned men of the river Seine
Paris owes me a cradle
I'll fall asleep without love and hate
Between its arms of sand and water",0.003593602916225791,0.028007520362734795,0.3006172478199005,0.4319435954093933,0.693680465221405,0.7636160254478455,0.05399884283542633,0.7843809723854065,0.8094643354415894,0.1345909684896469
4,Germany (West),1,Walter Andreas Schwarz,Im Wartesaal zum großen Glück,German,-,-,1,1956,Switzerland,Lugano,"Es gibt einen Hafen
Da fährt kaum ein Schiff
Und wenn eines fährt
So in unbestimmte Fernen
Und es kommt, wenn es ankommt
Von sehr weit schon her
Und einer steigt aus und der kommt übers Meer
Mit gläserner Fracht von den Sternen

Und man baute am Kai der Vergangenheit
Einen Saal mit Blick auf das Meer
Und mit Wänden aus Träumen gegen die Wirklichkeit
Denn die liebte man nicht sehr

Im Wartesaal zum großen Glück
Da warten viele, viele Leute
Die warten seit gestern auf das Glück von morgen
Und leben mit Wünschen von übermorgen
Und vergessen, es ist ja noch heute
Ach, die armen, armen Leute

Und sie blickten aufs Meer
Und sie sahen auch das Schiff
Gerade als es abfuhr
In unbestimmte Fernen
Und sie jagten auf Träumen
Hinter ihm her
Und sahen ihn nicht, wie er kam übers Meer
Mit gläserner Fracht von den Sternen

Und er ging am Kai der Vergangenheit vorbei
Und die im Saal, die ließ er einfach stehen
Ging gradeaus in die Wirklichkeit
Und da hat man ihn lächeln sehen

Im Wartesaal zum großen Glück
Da warten viele, viele Leute
Die warten seit gestern auf das Glück von morgen
Und leben mit Wünschen von übermorgen
Und vergessen, es ist ja noch heute
Tja, die armen, armen Leute

Und es fuhren am Morgen
Die Fischer hinaus
Und es glühte der Himmel
Bis in unbestimmte Fernen
Und da kam er gegangen
Und ihre Netze waren leer
Doch da holte er für sie die Sonne aus dem Meer
Und trug sie empor zu den Sternen

Und sie glänzte weit durch die Wirklichkeit
Und es tanzten die Boote im Licht
Nur im Saal am Kai der Vergangenheit
Da sah man die Sonne nicht

Im Wartesaal zum großen Glück
Da warten viele, viele Leute
Die warten seit gestern auf das Glück von morgen
Und leben mit Wünschen von übermorgen
Und vergessen, es ist ja noch heute
Tja, die armen Leute","There is a harbour
Where hardly any ship leaves from
And when one leaves
It leaves to unknown distance
And when it arrives it comes
From very far away
And someone gets off and he has crossed the sea
With a glassy load from the stars

And on the quay of the past they built
A room with a sea view
And with walls made of dreams
To avoid reality
Because they did not like it a lot

In the waiting room for great happiness
Many, many people are waiting there
They have been waiting since yesterday
For the happiness of tomorrow
Living with wishes for the day after tomorrow
And they forget that it is still today
Oh, these poor, poor people

And the watched the see
And they saw the ship, too
Just while it was leaving
To unknown distance
And on their dreams
They chased it
And they did not see him cross the sea
With a glassy load from the stars

And he passed the quay of the past
And he just went past the ones in the room
He went straightforward into reality
And then they saw him smile

In the waiting room for great happiness
Many, many people are waiting there
They have been waiting since yesterday
For the happiness of tomorrow
Living with wishes for the day after tomorrow
And they forget that it is still today
Well, these poor, poor people

And in the morning
The fishermen went out to sea
And the sky was glowing
Into unknown distance
And there he came
And their nets were empty
But then he fetched the sun out of the sea for them
And he carried it up to the stars

And it was shining far throughuot reality
And the boats were dancing in the light
Only there in the room on the quay of the past
The sun was not seen

In the waiting room for great happiness
Many, many people are waiting there
They have been waiting since yesterday
For the happiness of tomorrow
Living with wishes for the day after tomorrow
And they forget that it is still today
Well, these poor, poor people",0.4681827127933502,0.5264036059379578,0.01406362745910883,0.5862859487533569,0.3699977397918701,0.8940054178237915,0.717507004737854,0.5401962995529175,0.45859119296073914,0.47025007009506226
5,France,1,Mathé Altéry,Le temps perdu,French,-,-,1,1956,Switzerland,Lugano,"Chante, carillon
Le chant du temps perdu
Chante ta chanson
A mon cœur éperdu
Moi, je pleure
Celui que j'aime

Berce dans le soir
Mon rêve et mes sanglots
Verse en moi l'espoir
De le revoir bientôt
Hâte-toi
Car j'attends toujours

Vienne le temps du bonheur
Le temps d'amour
Qui seul peut calmer mon cœur

Coule le ruisseau
Vers la mer qui t'attend
Roule dans tes eaux
Toute la vie du printemps
Moi, toujours
J'attends ton retour

Les heures s'enfuient
Lentement dans la nuit
Chacune d'elles monotone sonne
Et j'attends le jour
Imaginant toujours
Que tu me rendras
Ton amour un jour

Chante, carillon
Chante pour mon bonheur
Chante ta chanson
Si légère à mon cœur
Chante aussi
Pour celui que j'aime

Berce dans le soir
Nos étreintes d'amour
Verse en moi l'espoir
De le garder toujours
Chante, j'oublie
Le temps perdu

Sonne, mais sans te presser
L'heure d'amour
Qui nous retient enlacés

Coule le ruisseau
Vers la mer qui t'attend
Roule dans tes eaux
Toute la vie du printemps
Moi, toujours
J'attends ton retour","Sing, carillon
The song of lost time
Sing your song to my fiery heart
I cry for the one I love Lull in the evening
My dream and my sobs
Pour in me the hope to meet him soon
Hurry up, because I'm still waiting May come the time of happiness
The time of love, which only can calm down my heart Divert the river
Into the sea that is waiting for you
Cherish in these waters all life of springtime
I will always wait for your return The hours flee slowly in the night
Every hour rings monotonously
And I'm waiting for the day, always imagining
That you will give back your love to me one day Sing, carillon
Sing for my happiness
Sing your song, so softly to my heart
Also sing for the one I love Lull in the evening
Our love embraces
Pour in me the hope to keep him forever
Sing, I forget the lost time Ring, but you don't have to hurry
The hour of love keeps us clasped Divert the river
Into the sea that is waiting for you
Cherish in these waters all life of springtime
I will always wait for your return",0.9919536113739014,0.9601001143455505,0.9695844650268555,0.8633340001106262,0.10402137041091919,0.9849996566772461,0.62686687707901,0.8445372581481934,0.44709816575050354,0.58486407995224
6,Luxembourg,1,Michèle Arnaud,Ne crois pas,French,-,-,1,1956,Switzerland,Lugano,"Si on te dit que t'a une belle gueule
Y a pas de quoi t'en vanter
Et au lieu de faire les belles gueules
Tu ferais mieux d'en profiter

Ne crois pas que toute ta vie
On t'aimera pour tes beaux yeux
Car si ta gueule fait envie
C'est que t'es jeune et rien de mieux

Ne crois pas, ne crois pas
Que tu seras toujours beau gosse
Ne crois pas, ne crois pas
Que ta jeunesse durera

Tu seras comme tout le monde
Avec le teint décati
Le bidon en mappemonde
Et toutes les dents desserties

Quand t'auras le crâne bien lisse
Le geste mal assuré
Et le regard en coulisse
T'iras de faire réparer

Ne crois pas, ne crois pas
Que tu seras toujours beau gosse
Ne crois pas, ne crois pas
Que ta jeunesse durera

Tu te crois malin
A vouloir jouer les insondables
Les intouchables
Du début jusqu'à la Saint Glin-Glin

C'est pas sérieux
Les Hermès, Adonis, les Hercules
Qui déambulent
Sans songer qu'un jour ils seront vieux

Si on te dit que t'a une belle gueule
Y a pas de quoi t'en vanter
Et au lieu de faire les belles gueules
Tu ferais mieux d'en profiter

Ne crois pas que toute ta vie
On t'aimera pour tes beaux yeux
Car si ta gueule fait envie
C'est que t'es jeune et rien de mieux

Ne crois pas, ne crois pas
Que tu seras toujours beau gosse
Ne crois pas, ne crois pas
Que ta jeunesse durera

Ne crois pas
Ne crois pas
Ne crois pas
Que ta jeunesse durera","If they told you that you have a good look
There is nothing to boast about
And instead of playing the good look
You should take advantage of it Don't believe that all your life
You will be loved for your nice eyes
Because if your face makes other envious
It's because you're young and nothing better Don't believe, don't believe
That you will be always a handsome boy
Don't believe, don't believe
That your youth will last You will be like everybody
With faded colour
The belly as a globe
And all your teeth unset When you will have your skull quite smooth
Clumsy gesture
And sidelong glance
You'll go to be repaired Don't believe, don't believe
That you will always be a handsome boy
Don't believe, don't believe
That your youth will last You think you're clever
To play the unfathomable
The untouchable
From the start until never in a month of Sundays It's not serious
Hermes, Adonis, Hercules
Who stroll
Without thinking that one day they will get old If they told you that you have a good look
There is nothing to boast about
And instead of playing the good look
You should take advantage of it Don't believe that all your life
You will be loved for your nice eyes
Because if your face makes other envious
It's because you're young and nothing better Don't believe, don't believe
That you will always be a handsome boy
Don't believe, don't believe
That your youth will last Don't believe... don't believe...
Don't believe that your youth will last",0.5113505721092224,0.17328821122646332,0.5934914350509644,0.733738124370575,0.8085211515426636,0.8431216478347778,0.631367027759552,0.8763270974159241,0.681938648223877,0.4287116527557373
7,Italy,1,Franca Raimondi,Aprite le finestre,Italian,-,-,1,1956,Switzerland,Lugano,"La prima rosa rossa è già sbocciata
E nascon timide le viole mammole
Ormai, la prima rondine è tornata
Nel cielo limpido comincia a volteggiar
Il tempo bello viene ad annunciar

Aprite le finestre al nuovo sole
È primavera
È primavera
Lasciate entrare un poco d'aria pura
Con il profumo dei giardini e i prati in fior

Aprite le finestre ai nuovi sogni
Bambine belle
Innamorate
È forse il più bel sogno che sognate
Sarà domani la felicità

Nel cielo fra le nuvole d'argento
La luna ha già fissato appuntamento
Aprite le finestre al nuovo sole
È primavera
Festa dell'amor

La, la, la...
Aprite le finestre al nuovo sol

Sul davanzale un piccolo usignolo
Dall'ali tenere le piume morbide
Ha già spiccato il timido suo volo
E contro i vetri ha cominciato a picchiettar
Il suo più bel messaggio vuol portar

È primavera
È primavera

Aprite le finestre ai nuovi sogni
Alle speranze
All'illusione
Lasciate entrare l'ultima canzone
Che dolcemente scenderà nel cuor

Nel cielo fra le nuvole d'argento
La luna ha già fissato appuntamento
Aprite le finestre al nuovo sole
È primavera
Festa dell'amor

La, la, la...
Aprite le finestra al primo amor","The first red rose has already blossomed
And sweet-smelling violets shyly come up
The first swallow is back by now
It's starting to whirl in the clear sky
It comes to announce nice weather Open your windows to the newly born sun
It's spring, it's spring
Let a little fresh air in
With the smell of gardens and flowery meadows Open your windows to new dreams
Beautiful little girls in love
It's maybe the most beautiful dream you dream
Tomorrow it will be happiness In the sky, among the silver clouds
The moon has already set a date
Open your windows to the newly born sun
It's spring, the festival of love La la la la la la la la la la la
Open your windows to the newly born sun On the window-sill a small nightingale
With tender wings and soft feathers
Has already shyly flown up
And it's started tapping on the glass
It wants to bring its most beautiful message: It's spring, it's spring Open your windows to new dreams
To hope, to illusion
Let the last song in
It will softly go down into your heart In the sky, among the silver clouds
The moon has already set a date
Open your windows to the new sun
It's spring, the festival of love La la la la la la la la la la la
Open your windows to the first love",0.9479381442070007,0.9791157841682434,0.0006959536694921553,0.986558735370636,0.013908753171563148,0.005060331895947456,0.46271583437919617,0.0016103574307635427,0.8361033797264099,0.5187900066375732
8,Netherlands,-,Corry Brokken,Voorgoed voorbij,Dutch,-,-,1,1956,Switzerland,Lugano,"Voorgoed voorbij
Nu zijn we nooit meer samen
Mijn lieveling
Wat heb ik jou gedaan?

Voorgoed voorbij
Gesloten zijn je ramen
Maar net als toen
Zie ik viooltjes staan

De hele wereld geurt
De lentebloesem kleurt
Ach, waarom is er ieder jaar
Een nieuwe mei?

Dat is voor mij
Voorgoed voorbij
De lente van mijn leven
Dat lachend getij
Het is alles voorbij

Voor jou was het maar spel
Ik weet heel goed
Je hebt het niet anders bedoeld
Maar ik, ik meende het wel
Ik heb het maar al te diep gevoeld

De hele wereld geurt
De lentebloesem kleurt
Ach, waarom is er ieder jaar
Een nieuwe mei?

Dat is voor mij
Voorgoed voorbij
De lente van mijn leven
Dat lachend getij
Het is alles voorbij","Over for good
Now we'll never be together again
My darling
What have I done to you? Over for good
Your windows are closed
But just like then
I still see violets The whole world smells good
The spring-flower is colouring
Ah, why is there every year a new May?
For me, it's over forever
The spring of my life
That season of mirth
It's all over For you it was just a game
I know very well that
You didn't mean it that way
But me, I did mean it
I felt it very deeply The whole world smells good
The spring-flower is colouring
Ah, why is there every year a new May?
For me, it's over forever
The spring of my life
That season of mirth
It's all over",0.0056419093161821365,0.31216028332710266,0.08629219233989716,0.5616956949234009,0.09816574305295944,0.7040583491325378,0.020744891837239265,0.23828420042991638,0.409515917301178,0.03530248627066612
9,Switzerland,-,Lys Assia (2),Refrain,French,1,-,1,1956,Switzerland,Lugano,"[Intro]
(Refrain d'amour)

[Couplet 1]
Refrain, couleur du ciel
Parfum de mes vingt ans
Jardin plein de soleil
Où je courais enfant
Partout je t'ai cherché
Mon amoureux lointain
Guettant par les sentiers
Où tu prenais ma main

[Couplet 2]
Les jours s'en sont allés
Et nous avons grandi
L'amour nous a blessés
Le temps nous a guéris
Mais seule et sans printemps
Je cours en vain les bois, les champs
Dis, souviens-toi
Nos amours d'autrefois?

[Pont]
Les années passent à tire-d'aile
Et sur les toits de mon ennui
Coule la pluie
Où sont parties les caravelles
Volant mon cœur?
Portant mes rêves vers ton oubli?
J'aurais voulu que tu reviennes
Comme jadis
Porter des fleurs à ma persienne
Et ta jeunesse en mon logis

[Couplet 3]
Refrain, couleur de pluie
Regret de mes vingt ans
Chagrin, mélancolie
De n'être plus enfant
Mais seule et loin de toi
Par les chemins où tu n'es pas
Je vais, pleurant
Mes amours de vingt ans","Chorus of love, or or or or
Chorus, color of the sky, fragrance of my twenties
Garden full of sunshine where I ran as a child
Everywhere, I was looking for you, my distant love
By watching the paths where you took my hand The days are gone and we have grown
Love hurt us, time healed us
But only and without spring
I run in vain, in the woods, the fields
Telling me to remember you, our love of another time The years pass, take wings
And on the roofs of my boredom, the rain flows
Where the caravel parties are
Driving my heart, supporting my dreams of your oblivion
I would agree you return like before
Take flowers in my blinds
And your youth in my home Chorus, color of the rain, regrets of my twenties
Grief, melancholy of no longer being a child
But only and far from you, by the paths where you are not
I'm mourning my love of twenty years",0.8003020882606506,0.001999431988224387,0.9962999224662781,0.04552200809121132,0.18257124722003937,0.9967460036277771,0.004801641218364239,0.993320107460022,0.6031140089035034,0.1057518795132637
10,Belgium,-,Mony Marc,Le plus beau jour de ma vie,French,-,-,1,1956,Switzerland,Lugano,"Les cloches sonnent
Tout carillonne
Le plus beau jour de ma vie
Aujourd'hui je me marie
Ding dong
Ding dong

Si maman pleure
C'est bientôt l'heure
Et papa m'offre le bras
Nous partons à petits pas
Ding dong
Ding dong

Les tout petits enfants
Me suivent gravement
Portant ma robe
Sous mon voile blanc
Voici mon Prince Charmant
Il sourit tendrement
Je m'avance vers lui
Le cœur battant

Minute brève
Comme en un rêve
Nos deux êtres pleins d'amour
Vont être unis pour toujours
Ding dong
Ding dong

Quel instant émouvant
Je suis tout étourdie
Puis ta main sur ma main
Simplement j'ai dit oui

Orgue en sourdine
Tout s'illumine
Le portail est large ouvert
Nous sortons sous le ciel clair
Ding dong
Ding dong

On nous admire
Et j'entends dire
«Regardez, elle est jolie»
Comme ils sont bien assortis
Ding dong
Ding dong

Un doux bonheur m'étreint
Tandis que sur ma main
Tes yeux caressent
Mon anneau d'or fin
L'espace d'un instant
Je refais le serment
De vivre pour
T'aimer fidèlement

Les cloches sonnent
Tout carillonne
Pour que jamais je n'oublie
Le plus beau jour de ma vie
Ding dong
Ding dong","The bells are ringing
Everything is heralding
The most beautiful day of my life
I am getting married today
Ding dong
Ding dong If Mum cries
It will soon be time
And Dad is offering me his arm
We are going off with little steps
Ding dong
Ding dong The very small children
Are following me portly
Carrying my dress
Under my white veil
Here is my Charming Prince
He is smiling tenderly
I am approaching him
With my heart beating A short minute
Like in a dream
The two beings of us full of love
Will be united forever
Ding dong
Ding dong What a moving moment
I am feelng all dizzy
Then your hand on my hand
I simply said I do The organ is subdued
Everything is lighting up
The gate is wide open
We are leaving under the clear sky
Ding dong
Ding dong We are admired
And I hear them say
""Look, she is pretty""
How beautifully they are assembled
Ding dong
Ding dong Sweet happiness is grabbing me
While, on my hand
Your eyes are caressing
My ring of fine gold
The room of a moment
I repeat the vow
To live to
Love you faithfully The bells are ringing
Everything is heralding
That I will never forget
The most beautiful day of my life
Ding dong
Ding dong",0.9950032234191895,0.9103463292121887,0.0012089456431567669,0.8857303857803345,0.005204933695495129,0.12857984006404877,0.9908566474914551,0.0007422528578899801,0.20437167584896088,0.7874412536621094
