#,Country,#.1,Artist,Song,Language,Place,Score,Eurovision Number,Year,Host Country,Host City,Lyrics,Lyrics translation,artist_norm,song_norm,danceability,energy,loudness,tempo
73,United Kingdom,4,The Allisons,Are You Sure?,English,2,24.0,6,1961,France,Cannes,"Goodbye (goodbye)
Farewell (farewell)
I'm not sure what to do

So long (so long)
Au revoir (au revoir)
It's hard, but I'll pull through

Are you sure you won't be sorry?
Comes tomorrow, you won't want me
Back again to hold you tightly?

Now are you sure
It's not your foolish heart?
That you won't grieve
If we're to be apart?

You will see as time goes by
We'll grow lonely
You and I
Dreaming of each other and we'll cry

Goodbye (goodbye)
Farewell (farewell)
I'm not sure what to do

So long (so long)
Au revoir (au revoir)
It's hard, but I'll pull through

Are you sure you won't be sorry?
Comes tomorrow, you won't want me
Back again to hold you tightly?

Just stop and think
It's your decision now
For you're the one
Who went and broke the vow
You'll be sorry
Wait and see
Spend your life in misery
Wishing that you had returned to me

Goodbye (goodbye)
Farewell (farewell)
What is there to live for?
Before you go
Just think now are you sure?

Are you sure you won't be sorry?
Comes tomorrow, you won't want me
Back again to hold you tightly in my arms?",English,the allisons,are you sure,0.382,0.4479999999999999,-11.696,167.679
101,France,8,Alain Barrière,Elle était si jolie,French,5,25.0,8,1963,United Kingdom,London,"Elle était si jolie
Que je n'osais l'aimer
Elle était si jolie
Je ne peux l'oublier
Elle était trop jolie
Quand le vent l'emmenait
Elle fuyait ravie
Et le vent me disait...

Elle est bien trop jolie
Et toi je te connais
L'aimer toute une vie
Tu ne pourras jamais
Oui mais elle est partie
C'est bête mais c'est vrai
Elle était si jolie
Je n'oublierai jamais

Aujourd'hui c'est l'automne
Et je pleure souvent
Aujourd'hui c'est l'automne
Qu'il est loin le printemps
Dans le parc où frissonnent
Les feuilles au vent mauvais
Sa robe tourbillonne
Puis elle disparaît...

Elle était si jolie
Que je n'osais l'aimer
Elle était si jolie
Je ne peux l'oublier
Elle était trop jolie
Quand le vent l'emmenait
Elle était si jolie
Je n'oublierai jamais","Oh, she was so beauti/ful
That I dared not love her.
Oh, she was so beautiful
I  cannot forget her
Oh, she was too beauti/ful,
When winds blew her away,
She escaped  joyfully -y
And to me the wind said
( and t'me the wind would say) Oh , she's way too beauti/ful
And I know you too well
Loving her for ever-er
You' ll never be able
Yes, but she's gone away
It's silly but it's real.
Oh, she was so beauti/ful
I' ll never forget her. And today, it is autumn
I weep  very often
And today, it is autumn
How distant seems the spring!
In the park, where shudder -er
The leaves in the bad wind,
Her dress swirls, whirls and curls
And then, she's gone away... Oh, she was so beauti/ful
That I dared not love her
Oh, she was so beauti/ful
I cannot forget her.
Oh, she was too beautiful,
When winds blew her away,
Oh, she was so beauti/ful
I'll never forget her.",alain barri re,elle tait si jolie,0.419,0.391,-9.189,102.346
112,Austria,8,Udo Jürgens,"Warum nur, warum?",German,6,11.0,9,1964,Denmark,Copenhagen,"Warum nur, warum
Muß alles vergeh'n?
Warum nur, warum
Bleibt gar nichts besteh'n?

Du gehst von mir
Schaust' dich nicht um
Gib mir die Antwort:
Warum nur warum?

Warum nur, warum
Blühn' Blumen so schön
Wenn sie schon bald
Verblüh'n und vergeh'n?

Ein Traum entflieht
Die Stunden sind um!
Bitte gib mir die Antwort:
Warum nur, warum?

Oft hör' ich dein Wort:
""Ewig bin ich Dein!""
Ich hab' dir geglaubt
Doch es war nur Schein!

Warum nur, warum
Muß alles so sein?
Warum nur, warum
Bin ich nun so allein?

Bevor du gehst
Dreh' einmal dich um!
Und dann gib' mir die Antwort:
Warum nur, warum?","Only why, why everything has to pass by?
Oh... only why, why nothing stays forever?
You leave me, you don't turn your head back
Give me the answer - only why, why? Only why, why the flowers bloom so beautiful
Oh... when will they fade and die?
A dream escapes, the time is up
Please, give me the answer - only why, why? Often I hear your words: I will be yours in eternity
I believed you, but it was just a pretence Oh yes... only why, why should everything be like this?
Oh... only why, why am I so alone?
Before you leave me, turn your head back
And then give me the answer - only why, why?
Why? Why?",udo j rgens,warum nur warum,0.37,0.721,-4.688,89.729
263,Spain,13,Mocedades,Eres tú,Spanish,2,125.0,18,1973,Luxembourg,Luxembourg City,"[Verse 1]
Como una promesa, eres tú, eres tú
Como una mañana de verano
Como una sonrisa, eres tú, eres tú
Así, así, eres tú
Toda mi esperanza, eres tú, eres tú
Como lluvia fresca en mis manos
Como fuerte brisa, eres tú, eres tú
Así, así, eres tú

[Chorus]
Eres tú como el agua de mi fuente
(Algo así eres tú)
Eres tú el fuego de mi hogar
Eres tú como el fuego de mi hoguera
Eres tú el trigo de mi pan

[Verse 2]
Como mi poema, eres tú, eres tú
Como una guitarra en la noche
Todo mi horizonte eres tú, eres tú
Así, así, eres tú

[Chorus]
Eres tú como el agua de mi fuente
(Algo así eres tú)
Eres tú el fuego de mi hogar
Eres tú como el fuego de mi hoguera
Eres tú el trigo de mi pan

[Outro]
Eres tú...","Like a promise, you are, you are...
like a summer morning.
Like a smile, you are, you are [to me]
That's how, that's how, you are [that's how I perceive you] You are like my hope, you are, you are... [to me]
like a fresh rain in my hands.
Like a strong breeze, you are, you are [to me]
That's how, that's how, you are [that's how I perceive you] You are the water of my fountain
You are the warmth in my home
You are
You are something like, ohhhh
Like the fire in my fireplace (something like the fire from my fireplace)
You are..,
(You are something like, ohhhh)
The wheat in my bread
My love, you are something like that Like my poem, you are, you are [to me]
Like a guitar in the night,
you are all my horizon, you are [to me]
That's how, that's how, you are [that's how I perceive you] You are the source of my water
You are the warmth in my home
You are (You are something like, ohhhh)
Like the fire in my fireplace (something like the fire from my fireplace)
You are (You are something like, ohhhh)
The wheat of my bread (my love, you are something like that ). You are...",mocedades,eres t,0.426,0.6,-4.045,81.205
370,Finland,18,Katri Helena,Katson sineen taivaan,Finnish,14,38.0,24,1979,Israel,Jerusalem,"Etsien käy lapsonen maan
Tokkopa koskaan juurtua saan
Lintunenkin muuttaessaan
Pesäpuun löytää vain vaistollaan
Mutta etsien käy lapsonen maan
Haikeus mielen kotina vaan
Siivetön oon, etsiä saan
Rauhaa en löydä kai milloinkaan
Katson sineen taivaan
Tähti kirkkain sua
Taas mä pyynnöin vaivaan
Ohjaa kotiin mua
Katson sineen taivaan
Tähti kirkkain sua
Taas mä pyynnöin vaivaan
Ohjaa kotiin mua
Ohjaa mua
Etsien käy lapsonen maan
Peittäen turhaan kaipaustaan
Toiveenikin päivien työn
Mennessään ilta vie syliin yön
Etsien käy lapsonen maan
Lohtua iltaan raukenevaan
Tähti sä yön, loisteesi suo
Eksyneen viitaksi hohtees luo
Katson sineen taivaan
Tähti kirkkain sua
Taas mä pyynnöin vaivaan
Ohjaa kotiin mua
Katson sineen taivaan
Tähti kirkkain sua
Taas mä pyynnöin vaivaan
Ohjaa kotiin mua
Katson sineen taivaan
Tähti kirkkain sua
Taas mä pyynnöin vaivaan
Ohjaa kotiin mua","Child of the earth always seeks
He will never find a place to live
A little bird, too, when he moves
Finds a tree always without rules But child of the earth always seeks
In nostalgia his mind lives
I'm wingless, I need just to seek
I guess I'll never find a peace I watch in the blue sky you, the brightest star
I bother you with my mind, show me what we are I watch in the blue sky you, the brightest star
I bother you with my mind, show me what we are
What we are Child of the earth always seeks
Trying to cover his missing
Even my wishes, the work of the day
Are taken by evening, in the night they stay Child of the earth always seeks
Some comfort to the arriving eve
The star of the night, your wonderful light
Makes a cloak for the lost one from your shine I watch in the blue sky you, the brightest star
I bother you with my mind, show me what we are I watch in the blue sky you, the brightest star
I bother you with my mind, show me what we are (I watch in the blue sky you, the brightest star)
I bother you with my mind, show me what we are",katri helena,katson sineen taivaan,0.6779999999999999,0.416,-9.915,125.282
390,Italy,25,Alan Sorrenti,Non so che darei,Italian,6,87.0,25,1980,Netherlands,The Hague,"Se ti perdo non so che farei
Ricordero sempre ogni piccolo istante
Vissuto con te
Le mie mani sono vuote ma
Lo non nascondo
L'amore che sento
Da sempre per te
In fondo all'anima non so perche'
Io vorrei stringerti ancora una volta a me

Non so che darei
Per fermare il tempo
Per dormire al tuo fianco solo una notte
Non so che darei
Per sentirti mia per tenerti vicino solo una notte
Poi le stelle e la luna spariranno e tu
Con le ali di cigno volerai laggiu'

Le mie mani sono vuote ma...

Non so che darei
Per fermare il tempo
Per dormire al tuo fianco solo una notte
Non so che darei
Per sentirti mia per tenerti vicino solo una notte","If I lose you
I wonder what I would do
I would  always remember
Every single moment
I'd been living with you My hands
Are empty, but
I can't hide
The love I feel
Always for you
In the depth of my soul
I wonder why
I'll still want you in my arms once again I wonder what I would give
To still the time
That I could sleep on your side
Just one more night
I wonder what I would give, that you'd feel yourself mine
and draw you close, just one more night Then the star and the moon above should disappear and you
With the wings of a swan would fly down here My hands
Are empty, but
I can't hide
The love I feel
Always for you
In the depth of my soul
I wonder why
I'll still want you in my arms once again I wonder what I would give
To still the time
That I could sleep on your side
Just one more night
I wonder what I would give, that you'd feel yourself mine
and draw you close, just one more night",alan sorrenti,non so che darei,0.634,0.439,-14.653,87.057
417,United Kingdom,24,Bucks Fizz,Making Your Mind Up,English,1,136.0,26,1981,Ireland,Dublin,"[Chorus]
You gotta speed it up and then you gotta slow it down
'Cause if you believe that our love can hit the top you gotta play around
But soon you will find that there comes a time
For making your mind up

[Verse 1]
You gotta turn it on and then you gotta put it out
You gotta be sure that it's something everybody's gonna talk about
Before you decide that the times arrived
For making your mind up

[Refrain]
Don't let your indecision take you from behind
Trust your inner vision
Don't let others change your mind

[Verse 2]
And then you really gotta burn it up and make another fly by night
Get a run for your money and take a chance and it'll turn out right
And when you can see how it's gotta be
You're making your mind up

[Verse 3]
And try to look as if you don't care less but if you want to see some more
Bending the rules of the game will let you find the one you're looking for
And then you can show that you think you know
You're making your mind up

[Refrain]
Don't let your indecision, take you from behind
Trust your inner vision
Don't let others change your mind

[Chorus]
You gotta speed it up and then you gotta slow it down
'Cause if you believe that our love can hit the top you gotta play around
But soon you will find that there comes a time
For making your mind up
You gotta speed it up and then you gotta slow it down
'Cause if you believe that our love can hit the top you gotta play around
But soon you will find that there comes a time
For making your mind up
For making your mind up
For making your mind up
For making your mind up",English,bucks fizz,making your mind up,0.64,0.8340000000000001,-9.413,173.565
654,Germany,38,Münchener Freiheit,Viel zu weit,German,18,18.0,38,1993,Ireland,Millstreet,"Irgendwo in Zeit und Raum
Muss es ferne Welten geben
Unberührt und schön
Und doch erfüllt mit Leben
Leben ohne Angst und Not
Ohne Hass und Neid zu spüren
Sterne hell und klar
Dass man sie fast berühren kann
Ich glaub daran

Doch das ist viel zu weit
Draußen in der Dunkelheit
Viel zu weit
Hier ist unsre Wirklichkeit

Irgendwo in diesem Traum
Muss es ferne Wünsche geben
Keiner ist so tief
Wie unser Wunsch nach Leben
Leben wie im Paradies
Ohne dafür zu bezahlen
Das man wie ein Bild
In tausend Farben malen kann
Ich glaub daran

Doch das ist viel zu weit
Draußen in der Dunkelheit
Viel zu weit
Hier ist unsre Wirklichkeit
Viel zu weit
Weiter als es jemals war
Viel zu weit
Und dabei zum Greifen nah

Viel zu weit
Draußen in der Dunkelheit
Viel zu weit
Hier ist unsre Wirklichkeit

Irgendwo in Zeit und Raum
Hat es eine Welt gegeben
Unberührt und schön
Und damit fing das Leben an
Und was kam dann
Und was kam dann?","Somewhere in time and space
There must be far worlds
Untouched and beautiful and still filled with life Life without fear and misery
No hatred and malice to be found
Stars, bright and clear, so you can almost touch them
I believe in it But it's much too far away
Outside in the darkness
Much too far away
Here is our reality Somewhere in that dream
There must be far wishes
None is as deep as our wish to live Life like in paradise
Without paying for it
So you can paint in thousand colours like a painting
I believe in it But it's much too far away
Outside in the darkness
Much too far away
Here is our reality Much too far away
Further away than ever before
Much too far away
Yet so near to touch Much too far away
Outside in the darkness
Much too far away
Here is our reality Somewhere in time and space
There has been a world
Untouched and beautiful, and with that, life has begun
And what came next?
And what came next?",m nchener freiheit,viel zu weit,0.46,0.47,-7.063,75.987
664,Sweden,33,Arvingarna,Eloise,Swedish,7,89.0,38,1993,Ireland,Millstreet,"[Vers 1]
Samla dina tankar i ensamhet innan jag går ut
Trodde jag var smart när jag gjorde slut, ha-ha-ha
Längtar efter dig och nu står jag här utanför din dörr
När jag nu ringer på, öppnar du då?
Eller vill du att jag ska gå?
Så jag ber dig, kom ut till mig

[Refräng]
Eloise
Är vi mer än bara vänner?
Så visa vad du känner
Och sen får känslorna bestämma
Eloise
Även vindarna kan vända
För mig är du den enda
Vår kärlek, den är värd ett högre pris
Eloise

[Vers 2]
Det är inte lätt när man inte kan inse sina fel
Jag är som en boll i ett flipperspel, ah-ha-ha
Längtar efter dig och nu står jag här utanför din dörr
När jag nu ringer på, öppnar du då?
Eller vill du att jag ska gå?
Så jag ber dig, kom ut till mig
Whoa

[Refräng]
Eloise
Är vi mer än bara vänner?
Så visa vad du känner
Och sen får känslorna bestämma
Eloise
Även vindarna kan vända
För mig är du den enda
Vår kärlek, den är värd ett högre pris
Eloise

[Mellanspel]
Oh, oh, ooh, ooh, ooh
Bam-pam-pam-pa-pa-pa (Bam-pam-pa, bam-pam-pa)
(Oh, woohoo) Jag väntar och hoppas och längtar, säger mig

[Refräng]
Eloise
Även vindarna kan vända
För mig är du den enda
Vår kärlek, den är värd ett högre pris
Eloise","I'm Gathering my thoughts all by myself before I go out
I thought I was smart when I broke up , ah...
I'm longing for you and now I'm standing outside your door
When I ring the bell, will you open
Or do you want to go away?
So, I'm begging you, please come out Eloise, are we more than just friends?
So show what you feel and then let the feelings decide
Eloise, even the winds can change, for me you are the only one
Our love is worth a higher price, Eloise It's not easy when you can't realise your faults
I'm like a ball in a pinball machine, ah...
I'm longing for you and now I'm standing outside your door
When I ring the bell, will you open
Or do you want to go away?
So, I'm begging you, please come out Whoa...Eloise, are we more than just friends?
So show what you feel and then let the feelings decide
Eloise, even the winds can change, for me you are the only one
Our love is worth a higher price, Eloise I'm waiting, hoping and longing, so tell me... Eloise, even the winds can change, for me you are the only one
Our love is worth a higher price, Eloise",arvingarna,eloise,0.691,0.725,-3.501,132.554
771,United Kingdom,40,Katrina & The Waves,Love Shine a Light,English,1,227.0,42,1997,Ireland,Dublin,"[Verse 1]
Love shine a light in every corner of my heart
Let the love light carry, let the love light carry
Light up the magic in every little part
Let our love shine a light in every corner of our hearts

[Verse 2]
Love shine a light in every corner of my dream
Let the love light carry, let the love light carry
Like the mighty river flowing from the stream
Let our love shine a light in every comer of our dreams

[Chorus]
And we're all gonna shine a light together
All shine a light to light the way
Brothers and sisters in every little part
Let our love shine a light in every corner of our hearts

[Verse 3]
Love shine a light in every corner of the world
Let the love light carry, let the love light carry
Light up the magic for every boy and girl
Let our love shine a light in every corner of the world

[Chorus]
And we're all gonna shine a light together
All shine a light to light the way
Brothers and sisters in every little part
Let our love shine a light in every corner of our hearts
And we're all gonna shine a light together
All shine a light to light the way
Brothers and sisters in every little part
Let our love shine a light in every corner of our hearts

[Outro]
Shine a light in every corner of our hearts",English,katrina the waves,love shine a light,0.449,0.879,-4.465,84.005
