feature,coefficient
country__Country_Bulgaria,166.80632199265185
country__Country_Ukraine,110.28071389037625
country__Country_Australia,86.8506083120111
country__Country_Serbia and Montenegro,73.03875285475677
country__Country_Russia,56.65193733221932
country__Country_Azerbaijan,56.42043356205537
country__Country_Monaco,-53.32963077829318
country__Country_Moldova,51.03154409171869
country__Country_Germany (United),-45.56163525563063
country__Country_North Macedonia,44.652446596974116
country__Country_Yugoslavia,-44.544661046980146
country__Country_Slovakia,-43.97741551151811
country__Country_Luxembourg,-43.87054152432866
country__Country_The Netherlands,43.02249155623648
country__Country_Slovenia,-40.78849139246997
country__Country_Finland,-40.24295863669568
country__Country_Austria,-39.89962867487207
country__Country_Serbia,39.334371912458614
country__Country_Macedonia,-38.88158461998595
country__Country_Germany,-36.18303923849003
