,Edition,Year,Points type,From,To,Points
0,turin-2022,2022,Points given by the jury,albania,ukraine,7
1,turin-2022,2022,Points given by the jury,armenia,ukraine,6
2,turin-2022,2022,Points given by the jury,australia,ukraine,7
3,turin-2022,2022,Points given by the jury,azerbaijan,ukraine,6
4,turin-2022,2022,Points given by the jury,belgium,ukraine,6
5,turin-2022,2022,Points given by the jury,croatia,ukraine,8
6,turin-2022,2022,Points given by the jury,cyprus,ukraine,7
7,turin-2022,2022,Points given by the jury,czech republic,ukraine,4
8,turin-2022,2022,Points given by the jury,denmark,ukraine,5
9,turin-2022,2022,Points given by the jury,france,ukraine,10
10,turin-2022,2022,Points given by the jury,georgia,ukraine,6
11,turin-2022,2022,Points given by the jury,germany,ukraine,10
12,turin-2022,2022,Points given by the jury,iceland,ukraine,10
13,turin-2022,2022,Points given by the jury,ireland,ukraine,3
14,turin-2022,2022,Points given by the jury,israel,ukraine,7
15,turin-2022,2022,Points given by the jury,latvia,ukraine,12
16,turin-2022,2022,Points given by the jury,lithuania,ukraine,12
17,turin-2022,2022,Points given by the jury,moldova,ukraine,12
18,turin-2022,2022,Points given by the jury,montenegro,ukraine,6
19,turin-2022,2022,Points given by the jury,norway,ukraine,3
20,turin-2022,2022,Points given by the jury,poland,ukraine,12
21,turin-2022,2022,Points given by the jury,portugal,ukraine,8
22,turin-2022,2022,Points given by the jury,romania,ukraine,12
23,turin-2022,2022,Points given by the jury,san marino,ukraine,2
24,turin-2022,2022,Points given by the jury,slovenia,ukraine,8
25,turin-2022,2022,Points given by the jury,switzerland,ukraine,3
26,turin-2022,2022,Points given by televoters,albania,ukraine,10
27,turin-2022,2022,Points given by televoters,armenia,ukraine,10
28,turin-2022,2022,Points given by televoters,australia,ukraine,12
29,turin-2022,2022,Points given by televoters,austria,ukraine,12
30,turin-2022,2022,Points given by televoters,azerbaijan,ukraine,12
31,turin-2022,2022,Points given by televoters,belgium,ukraine,12
32,turin-2022,2022,Points given by televoters,bulgaria,ukraine,12
33,turin-2022,2022,Points given by televoters,croatia,ukraine,10
34,turin-2022,2022,Points given by televoters,cyprus,ukraine,12
35,turin-2022,2022,Points given by televoters,czech republic,ukraine,12
36,turin-2022,2022,Points given by televoters,denmark,ukraine,12
37,turin-2022,2022,Points given by televoters,estonia,ukraine,12
38,turin-2022,2022,Points given by televoters,finland,ukraine,12
39,turin-2022,2022,Points given by televoters,france,ukraine,12
40,turin-2022,2022,Points given by televoters,georgia,ukraine,12
41,turin-2022,2022,Points given by televoters,germany,ukraine,12
42,turin-2022,2022,Points given by televoters,greece,ukraine,10
43,turin-2022,2022,Points given by televoters,iceland,ukraine,12
44,turin-2022,2022,Points given by televoters,ireland,ukraine,12
45,turin-2022,2022,Points given by televoters,israel,ukraine,12
46,turin-2022,2022,Points given by televoters,italy,ukraine,12
47,turin-2022,2022,Points given by televoters,latvia,ukraine,12
48,turin-2022,2022,Points given by televoters,lithuania,ukraine,12
49,turin-2022,2022,Points given by televoters,malta,ukraine,8
50,turin-2022,2022,Points given by televoters,moldova,ukraine,12
51,turin-2022,2022,Points given by televoters,montenegro,ukraine,10
52,turin-2022,2022,Points given by televoters,the netherlands,ukraine,12
53,turin-2022,2022,Points given by televoters,north macedonia,ukraine,8
54,turin-2022,2022,Points given by televoters,norway,ukraine,12
55,turin-2022,2022,Points given by televoters,poland,ukraine,12
56,turin-2022,2022,Points given by televoters,portugal,ukraine,12
57,turin-2022,2022,Points given by televoters,romania,ukraine,10
58,turin-2022,2022,Points given by televoters,san marino,ukraine,12
