model,term,coefficient,std_error,t,p_value,ci_low,ci_high,n,r2
M1 bloc only,same_bloc,3.6098,0.5684,6.35,0.0,2.4957,4.7239,3125,0.0409
M2 + lyrics similarity,same_bloc,3.6189,0.5537,6.536,0.0,2.5337,4.7042,3125,0.0409
M2 + lyrics similarity,theme_similarity_z,-0.0264,0.207,-0.128,0.89852,-0.432,0.3792,3125,0.0409
M3 + shared language,same_bloc,3.6713,0.5339,6.877,0.0,2.6249,4.7177,3125,0.0465
M3 + shared language,theme_similarity_z,0.4769,0.2157,2.211,0.02703,0.0542,0.8997,3125,0.0465
M3 + shared language,shared_language,-1.3997,0.8846,-1.582,0.11359,-3.1335,0.3341,3125,0.0465
M3 + shared language,shared_non_english,3.3817,0.6557,5.158,0.0,2.0966,4.6668,3125,0.0465
M4 + song fixed effects,same_bloc,3.8468,0.6103,6.303,0.0,2.6507,5.0429,3125,0.463
M4 + song fixed effects,theme_similarity_z,0.3719,0.2016,1.845,0.065,-0.0231,0.767,3125,0.463
M4 + song fixed effects,shared_language,-0.6119,0.2437,-2.511,0.01204,-1.0895,-0.1343,3125,0.463
M4 + song fixed effects,shared_non_english,0.4056,1.2928,0.314,0.75374,-2.1283,2.9394,3125,0.463
M5 + TF-IDF similarity,same_bloc,3.8347,0.6116,6.27,0.0,2.636,5.0334,3125,0.4633
M5 + TF-IDF similarity,theme_similarity_z,0.2628,0.2022,1.3,0.19377,-0.1336,0.6592,3125,0.4633
M5 + TF-IDF similarity,tfidf_similarity_z,0.182,0.1323,1.376,0.16889,-0.0773,0.4414,3125,0.4633
M5 + TF-IDF similarity,shared_language,-0.7545,0.28,-2.695,0.00705,-1.3034,-0.2057,3125,0.4633
M5 + TF-IDF similarity,shared_non_english,-0.005,1.2958,-0.004,0.99693,-2.5447,2.5347,3125,0.4633
M6 jury points only,same_bloc,1.5974,0.3538,4.515,1e-05,0.9039,2.2908,3125,0.316
M6 jury points only,theme_similarity_z,0.1102,0.1407,0.783,0.43351,-0.1656,0.3861,3125,0.316
M6 jury points only,shared_language,-0.4935,0.2417,-2.042,0.04117,-0.9672,-0.0198,3125,0.316
M6 jury points only,shared_non_english,0.4058,0.3437,1.181,0.23779,-0.2679,1.0795,3125,0.316
M7 televote points only,same_bloc,2.2494,0.3754,5.992,0.0,1.5137,2.9851,3125,0.4991
M7 televote points only,theme_similarity_z,0.2617,0.0813,3.219,0.00129,0.1024,0.421,3125,0.4991
M7 televote points only,shared_language,-0.1184,0.112,-1.057,0.29041,-0.3378,0.1011,3125,0.4991
M7 televote points only,shared_non_english,-0.0002,1.2512,-0.0,0.99986,-2.4526,2.4522,3125,0.4991
M8 holdout blocs,same_bloc_holdout,3.6565,0.6424,5.692,0.0,2.3974,4.9156,2163,0.4225
M8 holdout blocs,theme_similarity_z,0.381,0.2069,1.841,0.06564,-0.0246,0.7866,2163,0.4225
M8 holdout blocs,shared_language,-0.1417,0.1053,-1.346,0.17837,-0.348,0.0647,2163,0.4225
M8 holdout blocs,shared_non_english,-0.0738,1.2419,-0.059,0.95261,-2.5079,2.3603,2163,0.4225
M9 bloc x lyrics similarity,same_bloc,3.5762,0.5815,6.15,0.0,2.4364,4.7159,3125,0.4652
M9 bloc x lyrics similarity,theme_similarity_z,0.2878,0.1956,1.472,0.14105,-0.0955,0.6711,3125,0.4652
M9 bloc x lyrics similarity,shared_language,-0.6235,0.2284,-2.73,0.00633,-1.0712,-0.1759,3125,0.4652
M9 bloc x lyrics similarity,shared_non_english,0.272,1.3312,0.204,0.83809,-2.3371,2.8811,3125,0.4652
M9 bloc x lyrics similarity,same_bloc:theme_similarity_z,0.9801,0.448,2.188,0.0287,0.102,1.8582,3125,0.4652
M10 bloc x TF-IDF similarity,same_bloc,3.6776,0.5791,6.35,0.0,2.5425,4.8127,3125,0.4639
M10 bloc x TF-IDF similarity,tfidf_similarity_z,0.1869,0.1456,1.284,0.19928,-0.0985,0.4722,3125,0.4639
M10 bloc x TF-IDF similarity,shared_language,-0.3846,0.281,-1.368,0.1712,-0.9354,0.1663,3125,0.4639
M10 bloc x TF-IDF similarity,shared_non_english,-1.0531,1.3833,-0.761,0.44647,-3.7642,1.6581,3125,0.4639
M10 bloc x TF-IDF similarity,same_bloc:tfidf_similarity_z,0.5801,0.2817,2.059,0.03948,0.0279,1.1322,3125,0.4639
