Year,From,To,Points given by the jury,Points given by televoters,gap,top_gap,from_bloc,to_bloc,same_bloc
2016,Armenia,Australia,5.0,0.0,5.0,0.0,8,2,False
2016,Armenia,Austria,0.0,4.0,-4.0,0.0,8,1,False
2016,Armenia,Azerbaijan,0.0,0.0,0.0,0.0,8,8,True
2016,Armenia,Belgium,4.0,0.0,4.0,0.0,8,6,False
2016,Armenia,Bulgaria,7.0,0.0,7.0,0.0,8,8,True
2016,Armenia,Croatia,0.0,0.0,0.0,0.0,8,4,False
2016,Armenia,Cyprus,6.0,6.0,0.0,0.0,8,7,False
2016,Armenia,France,12.0,7.0,5.0,1.0,8,1,False
2016,Armenia,Georgia,10.0,8.0,2.0,1.0,8,5,False
2016,Armenia,Germany,0.0,0.0,0.0,0.0,8,1,False
2016,Armenia,Hungary,0.0,3.0,-3.0,0.0,8,3,False
2016,Armenia,Israel,0.0,0.0,0.0,0.0,8,6,False
2016,Armenia,Italy,0.0,0.0,0.0,0.0,8,2,False
2016,Armenia,Latvia,0.0,0.0,0.0,0.0,8,5,False
2016,Armenia,Lithuania,0.0,0.0,0.0,0.0,8,5,False
2016,Armenia,Malta,8.0,5.0,3.0,0.0,8,7,False
2016,Armenia,Netherlands,0.0,0.0,0.0,0.0,8,1,False
2016,Armenia,Poland,0.0,1.0,-1.0,0.0,8,6,False
2016,Armenia,Russia,2.0,12.0,-10.0,-1.0,8,5,False
2016,Armenia,Serbia,0.0,0.0,0.0,0.0,8,4,False
2016,Armenia,Spain,3.0,0.0,3.0,0.0,8,6,False
2016,Armenia,Sweden,0.0,2.0,-2.0,0.0,8,3,False
2016,Armenia,Ukraine,0.0,10.0,-10.0,-1.0,8,5,False
2016,Armenia,United Kingdom,0.0,0.0,0.0,0.0,8,3,False
2016,Australia,Armenia,0.0,0.0,0.0,0.0,2,8,False
2016,Australia,Austria,0.0,3.0,-3.0,0.0,2,1,False
2016,Australia,Azerbaijan,0.0,0.0,0.0,0.0,2,8,False
2016,Australia,Belgium,12.0,12.0,0.0,0.0,2,6,False
2016,Australia,Bulgaria,8.0,10.0,-2.0,-1.0,2,8,False
2016,Australia,Croatia,1.0,0.0,1.0,0.0,2,4,False
2016,Australia,Cyprus,0.0,0.0,0.0,0.0,2,7,False
2016,Australia,France,6.0,7.0,-1.0,0.0,2,1,False
2016,Australia,Georgia,0.0,0.0,0.0,0.0,2,5,False
2016,Australia,Germany,0.0,0.0,0.0,0.0,2,1,False
2016,Australia,Hungary,0.0,0.0,0.0,0.0,2,3,False
2016,Australia,Israel,10.0,0.0,10.0,1.0,2,6,False
