group,n_pair_years,mean_jury,mean_televote,mean_gap,median_gap,sd_gap,share_nonzero,share_jury_top,share_televote_top,year,n_within,n_between,mean_gap_within,mean_gap_between,T,quantity,value
within_bloc,360.0,3.758,4.15,-0.392,0.0,5.267,0.728,0.139,0.206,,,,,,,,
between_bloc,2765.0,2.164,2.15,0.014,0.0,4.006,0.541,0.072,0.066,,,,,,,,
,,,,,,,,,,2016.0,62.0,588.0,0.032,-0.003,0.036,,
,,,,,,,,,,2017.0,64.0,561.0,-0.062,0.007,-0.07,,
,,,,,,,,,,2018.0,78.0,572.0,-0.628,0.086,-0.714,,
,,,,,,,,,,2019.0,84.0,516.0,-1.274,0.008,-1.282,,
,,,,,,,,,,2021.0,72.0,528.0,0.236,-0.032,0.268,,
,,,,,,,,,,,,,,,,observed_T_gap,-0.4054
,,,,,,,,,,,,,,,,observed_T_top_gap,-0.0732
,,,,,,,,,,,,,,,,qap_p_gap,0.15389
,,,,,,,,,,,,,,,,qap_p_top_gap,0.0011
,,,,,,,,,,,,,,,,qap_null_sd_gap,0.2857
,,,,,,,,,,,,,,,,qap_null_sd_top_gap,0.0221
,,,,,,,,,,,,,,,,bootstrap_ci_low_gap,-1.9215
,,,,,,,,,,,,,,,,bootstrap_ci_low_top_gap,-0.1879
,,,,,,,,,,,,,,,,bootstrap_ci_high_gap,0.9578
,,,,,,,,,,,,,,,,bootstrap_ci_high_top_gap,0.0287
,,,,,,,,,,,,,,,,bloc_dispersion_observed,1.6626
,,,,,,,,,,,,,,,,bloc_dispersion_null_mean,0.8298
,,,,,,,,,,,,,,,,bloc_dispersion_p,0.0005
,,,,,,,,,,,,,,,,bloc_dispersion_observed_min20,1.2009
,,,,,,,,,,,,,,,,bloc_dispersion_p_min20,0.02475
,,,,,,,,,,,,,,,,naive_permutation_p_gap,0.06947
,,,,,,,,,,,,,,,,cliffs_delta_gap,-0.0206
,,,,,,,,,,,,,,,,mde_80pct_power_gap,0.8
,,,,,,,,,,,,,,,,n_dyad_years,3125.0
,,,,,,,,,,,,,,,,n_countries,41.0
,,,,,,,,,,,,,,,,n_permutations,20000.0
