window,profile_cluster,graph_community,n_countries
full,1,0,2
full,2,0,3
full,3,0,7
full,4,0,4
full,5,0,2
full,7,0,1
full,9,0,1
full,2,1,1
full,7,1,5
full,8,1,8
full,9,1,4
full,5,2,1
full,6,2,4
jury,1,0,1
jury,2,0,1
jury,3,0,6
jury,4,0,2
jury,5,0,1
jury,1,1,4
jury,2,1,1
jury,5,1,7
jury,7,1,1
jury,1,2,1
jury,2,2,5
jury,4,2,2
jury,6,2,4
jury,7,2,2
televote,2,0,1
televote,4,0,1
televote,5,0,2
televote,6,0,6
televote,8,0,1
televote,9,0,5
televote,1,1,2
televote,2,1,2
televote,3,1,6
televote,5,1,1
televote,7,1,5
televote,9,1,1
televote,1,2,1
televote,4,2,2
televote,5,2,1
televote,8,2,1
