From,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Serbia and Montenegro,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
Albania,0.0,57.0,36.0,33.0,24.0,0.0,13.0,21.0,59.0,36.0,95.0,18.0,24.0,39.0,15.0,60.0,7.0,35.0,179.0,0.0,17.0,7.0,85.0,156.0,1.0,6.0,12.0,39.0,10.0,6.0,53.0,42.0,60.0,10.0,16.0,20.0,30.0,24.0,24.0,13.0,9.0,31.0,73.0,81.0,54.0,84.0,26.0
Armenia,21.0,0.0,36.0,42.0,1.0,23.0,14.0,6.0,58.0,19.0,80.0,23.0,40.0,37.0,41.0,135.0,105.0,12.0,146.0,3.0,8.0,5.0,53.0,40.0,10.0,10.0,0.0,40.0,31.0,20.0,37.0,7.0,60.0,16.0,66.0,22.0,101.0,3.0,21.0,0.0,5.0,39.0,65.0,52.0,4.0,100.0,12.0
Australia,9.0,20.0,0.0,49.0,8.0,0.0,69.0,0.0,73.0,43.0,54.0,39.0,61.0,41.0,71.0,41.0,4.0,15.0,37.0,0.0,23.0,58.0,81.0,28.0,26.0,36.0,12.0,42.0,38.0,0.0,19.0,14.0,58.0,26.0,24.0,33.0,19.0,5.0,38.0,0.0,12.0,36.0,129.0,33.0,0.0,44.0,40.0
Austria,35.0,61.0,72.0,0.0,8.0,7.0,35.0,19.0,42.0,60.0,11.0,39.0,43.0,31.0,49.0,29.0,1.0,62.0,24.0,22.0,6.0,17.0,76.0,93.0,18.0,17.0,14.0,27.0,30.0,0.0,59.0,0.0,58.0,42.0,31.0,38.0,19.0,0.0,47.0,12.0,24.0,7.0,78.0,59.0,8.0,61.0,28.0
Azerbaijan,53.0,0.0,50.0,11.0,0.0,32.0,16.0,5.0,50.0,36.0,73.0,24.0,21.0,41.0,46.0,20.0,55.0,3.0,55.0,28.0,0.0,21.0,139.0,92.0,15.0,16.0,16.0,75.0,57.0,2.0,18.0,11.0,48.0,29.0,35.0,66.0,121.0,21.0,27.0,0.0,18.0,31.0,98.0,55.0,48.0,197.0,27.0
Belarus,0.0,22.0,9.0,4.0,30.0,0.0,6.0,0.0,24.0,0.0,8.0,0.0,4.0,0.0,1.0,4.0,13.0,0.0,18.0,13.0,9.0,0.0,9.0,10.0,0.0,7.0,0.0,19.0,26.0,0.0,23.0,10.0,26.0,9.0,17.0,4.0,57.0,1.0,7.0,0.0,9.0,0.0,13.0,8.0,3.0,41.0,0.0
Belgium,40.0,46.0,59.0,49.0,17.0,0.0,0.0,0.0,51.0,20.0,13.0,15.0,12.0,35.0,67.0,80.0,14.0,21.0,55.0,1.0,22.0,8.0,90.0,91.0,19.0,18.0,1.0,9.0,38.0,0.0,84.0,0.0,35.0,96.0,41.0,29.0,27.0,13.0,17.0,3.0,3.0,30.0,118.0,47.0,18.0,76.0,23.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,31.0,69.0,24.0,32.0,15.0,3.0,20.0,0.0,0.0,13.0,51.0,15.0,10.0,2.0,9.0,34.0,3.0,8.0,80.0,11.0,0.0,1.0,39.0,38.0,3.0,16.0,2.0,33.0,58.0,0.0,21.0,10.0,30.0,13.0,28.0,35.0,30.0,0.0,33.0,0.0,0.0,24.0,8.0,23.0,7.0,49.0,13.0
Croatia,65.0,13.0,34.0,26.0,11.0,5.0,7.0,56.0,30.0,0.0,10.0,21.0,16.0,46.0,72.0,27.0,0.0,4.0,50.0,38.0,14.0,21.0,57.0,81.0,18.0,38.0,12.0,6.0,54.0,11.0,17.0,21.0,44.0,22.0,68.0,16.0,27.0,2.0,127.0,24.0,66.0,19.0,70.0,21.0,4.0,98.0,5.0
