From,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Malta,Moldova,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
Albania,1.0,0.25394664875509354,-0.10242911861237307,0.09523842004918284,0.15484438171338008,-0.013355933077807648,0.13700721189881881,0.37909991198081266,-0.10002046064949784,0.4291611796628374,-0.2153354571122902,-0.09810332910138449,-0.43258835622407643,-0.29224979647442795,0.2464810262284905,-0.06662988834045244,0.15192807763336053,0.3303923996679915,-0.18782970596115858,-0.3006298796294461,-0.5110512241016395,-0.1310062795613697,-0.13973885748250922,-0.4270536670843791,-0.43183694949822654,0.48401747999238953,-0.1776804115291744,0.015051645944430135,0.018628844753328273,-0.08766833386000661,-0.3181559537488193,-0.19937758976265385,0.023626908565175124,-0.034639702857179884,0.2519858486500511,0.15432717609849336,0.11396227748248385,0.04865287153016955,-0.29798207747446437,0.37855921190285974,0.060719098190279354,-0.44891956911710756,-0.11256309559664708
Armenia,0.25394664875509354,1.0,-0.08909356677605548,-0.3235541991000778,0.1669001271363708,0.3708185835789091,-0.08590532081021318,0.3690579373424365,-0.16415578543464784,0.32117800989418355,-0.18209421037777543,-0.19170007272927206,-0.10348923560224346,-0.2840020773664267,-0.06859333669952121,-0.028023427007855435,-0.2442094557005269,0.42582706089264477,0.03458191225136311,-0.1434744447951588,-0.30906252297627956,-0.008289014539889795,-0.12670767603207667,0.05426354668605274,0.03515842633654763,0.04177938296144513,0.08613035655008104,-0.2275655209914757,-0.08986908393961092,-0.15336503493284998,-0.22104051257116294,-0.09693024396228386,-0.08712318637100054,0.2420760497444482,0.051646688141212635,0.03409146221688938,-0.16435719569546647,0.044325710225967506,-0.259064068932479,-0.03564211831338793,0.08494046014694485,-0.01236197871973885,-0.130708381645411
Australia,-0.10242911861237307,-0.08909356677605548,1.0,-0.044458095605170084,-0.04145772056291829,-0.2645005578805596,-0.018442976338975618,-0.08953729377694523,-0.11900561939457384,-0.02095944903540546,0.3585162989309616,0.36268670862633023,0.1760631925868763,0.20779575606930353,-0.23771071591700385,-0.34598268837456764,-0.04166336043799462,-0.20799828580746832,-0.08250306130003733,0.0669375399349502,0.18127515683799852,0.047675553291921274,-0.07634161230124534,0.07040075166002996,-0.18662194331531196,0.12536323855288456,-0.10761458995281546,-0.02978909567592194,0.006831016893716979,0.3030589671623061,0.11978403884486866,0.025542019519396903,-0.05363519087459682,-0.4021115097894563,-0.047016810395554304,0.11165997397920586,-0.14941850740085366,-0.07768980827725179,0.24117298759646877,-0.10552041742348342,-0.32828749749281805,-0.32745322935971066,0.42064608013680277
Austria,0.09523842004918284,-0.3235541991000778,-0.044458095605170084,1.0,-0.01918054448264694,-0.34271426038342767,0.010685862757011734,-0.050982741912184104,0.27628585233724406,-0.13844358470762974,0.011432735688527255,-0.08040594595381266,-0.14990635278273154,0.17748425345210464,0.3090644769197064,-0.0476958055008779,0.30908360219384384,-0.10744765000505513,-0.16838282717320613,-0.006906777109755902,-0.13347797278145448,-0.1704869988639827,-0.08125233617209406,-0.27667893459100684,-0.17463866783702575,-0.08285528374425347,-0.29921742630683906,-0.02847851417728788,0.2928004850506407,0.03755666743337553,-0.14081301349817346,-0.2207410259256335,0.08941612004035558,-0.17113746369080218,-0.15887307735247164,0.04112576465753839,0.19606498381732154,-0.09044268210047411,0.30662785920423613,0.492204770462265,-0.04962726686039287,0.03144771569901483,-0.21705203151943647
Azerbaijan,0.15484438171338008,0.1669001271363708,-0.04145772056291829,-0.01918054448264694,1.0,0.23420316724249335,-0.05231626311713217,0.1340855498255333,-0.04610702775034938,0.04432158448742055,0.23254613076078395,-0.2853492351416653,-0.243060490766855,-0.18144920226882164,0.05418714580647787,0.07999585905997574,0.0382404876055133,0.05368105763479454,-0.1870932655263352,-0.5049688748156671,-0.14162104346083965,0.02696075089110346,0.03210469712231505,0.07820073652531342,-0.07838965757904084,0.045318422181928254,0.3213865025499352,0.010017834225296039,-0.07298974647849124,-0.3913374006293801,0.12288408243506567,-0.14293661992441029,0.061144718815707225,0.10482292369642329,0.03306799647193125,-0.0548613425471002,-0.271476245812782,-0.19192555574911754,-0.3365000180543538,-0.1604357994032768,0.045538724693805856,0.13143092356252742,0.000895903707157116
Belarus,-0.013355933077807648,0.3708185835789091,-0.2645005578805596,-0.34271426038342767,0.23420316724249335,1.0,-0.2672916985845091,0.18945518813702175,-0.0626461322317551,0.07397106863816706,-0.16290349693434675,-0.057953979901098004,-0.08207753156695399,-0.42841492538148357,0.1127458642488983,0.021219252918627075,-0.186883943969755,0.19679016444476896,0.3410490640233702,-0.12865064671788426,-0.22353148132794778,-0.00841653558788859,-0.06561011137721791,0.05872116096521914,0.03920126991191112,-0.16565535204753615,0.20028511454729533,-0.1688856945524494,-0.1296399692831055,-0.19541146400658305,-0.18841127429385007,-0.11703137572328753,0.0403970113622044,0.4741632193279989,-0.2922507822235435,-0.08770322343039196,-0.23826192787446515,0.06694791941283136,-0.32823174170357855,-0.21486686530418372,0.42586321720780446,0.2549931017183448,0.044388066957645786
Belgium,0.13700721189881881,-0.08590532081021318,-0.018442976338975618,0.010685862757011734,-0.05231626311713217,-0.2672916985845091,1.0,-0.08727330013258026,-0.3347854063058061,0.025214910151303702,-0.00779047104008394,0.22379657845086215,0.2587944109189942,-0.1268732070056225,0.23565990801916276,0.0064960953826389365,0.32647728626475375,0.0017628649564279653,-0.06683517388793547,0.19482682576848862,0.005044653620837544,0.031267235651701496,0.007522425151217938,-0.19287376263731115,0.11571303880223809,0.26555053838505727,-0.05489537271339862,-0.16796639079336353,0.2682123700753039,0.2699384260599192,0.11355501194715349,0.10958314670309523,-0.11142855224941427,-0.3597263239247186,0.14739511311171044,-0.3600016323357432,-0.3268976532035014,0.22539618663217484,0.056987561424823065,0.2248267911659537,-0.3351278339457778,-0.29667272233529374,0.1184110355036155
Bulgaria,0.37909991198081266,0.3690579373424365,-0.08953729377694523,-0.050982741912184104,0.1340855498255333,0.18945518813702175,-0.08727330013258026,1.0,-0.14581369899084187,0.45799790411632296,0.07073961816691374,-0.39004801266111294,-0.5111099041331452,-0.5359380572089394,0.309415326642119,0.20195437664497784,-0.051346138796883614,0.4406199247761795,-0.08991823161357278,-0.46448206924306495,-0.4096554073456286,0.024210445497790358,0.16984150381601987,-0.25833755882558795,-0.4715329652836205,-0.014990285064922433,0.0503226973611155,0.1288145288505149,0.009585079155952426,-0.4342574310732703,-0.35435319504660967,-0.05834769060958088,0.11140359324526321,0.17750673192809743,0.33283948147210196,-0.07600471650779674,-0.17708213278702534,0.02078000661065805,-0.4610996720059727,0.029387951857638834,0.1456948662953536,-0.0893063872601627,-0.2068063131970998
Croatia,-0.10002046064949784,-0.16415578543464784,-0.11900561939457384,0.27628585233724406,-0.04610702775034938,-0.0626461322317551,-0.3347854063058061,-0.14581369899084187,1.0,-0.062051098861739026,0.018310889284217403,-0.36530830492434163,-0.11570372449745692,0.1687379517582215,-0.11521156508510622,-0.12308808508373176,-0.10483996645260524,-0.06557770670638478,-0.20291949681001845,-0.21175748597251104,-0.2319101979537671,-0.2522125982879688,-0.046700932254449184,-0.13214329409435666,-0.03936728430158842,-0.10717500324787661,-0.24370065715603986,0.5573540461021516,-0.2068217403123519,-0.2519914847934679,0.05105542340771464,-0.036922031379846405,0.1203013440237564,-0.08014657045649498,0.14571633343304563,0.43727020593646093,0.33423467579232774,-0.25187040446826797,0.04977547956550761,0.25899905725663097,-0.06778102041252321,-0.04565315289541366,-0.3231270856858923
Cyprus,0.4291611796628374,0.32117800989418355,-0.02095944903540546,-0.13844358470762974,0.04432158448742055,0.07397106863816706,0.025214910151303702,0.45799790411632296,-0.062051098861739026,1.0,-0.016091914656541976,-0.25169004488692853,-0.21569455190176073,-0.2736787235747587,0.037713490821538326,-0.004101078402460257,-0.10980174352035597,0.21097968869768363,-0.13122622769549563,-0.34291974476707476,-0.28723063110164343,0.15358601085715867,-0.15332227562898806,-0.228786132642489,-0.34658500101354933,0.3566920470430472,0.21214126285899915,0.013643234801395966,-0.2569383384229629,-0.22473355550149657,-0.1618066231196137,-0.13615813336588467,0.17587360217619513,0.01482736214652071,0.49000894042183685,-0.07273400065031012,-0.32463619448077247,0.09620470002247851,-0.31163542282580564,0.032163411903184495,0.04657359683295601,-0.31214890603338147,-0.03375780479940189
Czech Republic,-0.2153354571122902,-0.18209421037777543,0.3585162989309616,0.011432735688527255,0.23254613076078395,-0.16290349693434675,-0.00779047104008394,0.07073961816691374,0.018310889284217403,-0.016091914656541976,1.0,-0.008823419483477174,0.10940933239846425,0.04775522023353203,-0.20636184608169922,0.0038181356238584283,-0.31045243921031174,-0.3722690460335773,-0.40712896164338125,-0.11558355568567624,-0.04043227443743832,0.08585270042203966,0.28931663825045684,0.21607832598132568,-0.061391284895537496,-0.08449710447066731,0.39229261416759065,-0.02958706643270914,-0.053848572568753604,0.027772836478479564,0.3211034475642965,0.09865652126068476,-0.1391562655696241,-0.30455255294258016,0.07482307091859254,0.09946963986309147,-0.21876756050772203,0.050912313099992626,-0.12413498621335826,-0.16991854857331112,-0.2326338738997531,-0.0965239794204611,-0.1345839656243374
Denmark,-0.09810332910138449,-0.19170007272927206,0.36268670862633023,-0.08040594595381266,-0.2853492351416653,-0.057953979901098004,0.22379657845086215,-0.39004801266111294,-0.36530830492434163,-0.25169004488692853,-0.008823419483477174,1.0,0.33430780979832075,0.24793308728800123,-0.12346817184875356,-0.31485876999251006,0.06598745477303636,-0.22434116131373405,0.3333795194276907,0.4648940299979781,0.21921453949965014,0.11756015750712799,-0.30139724920949224,0.19186298079326902,0.04569347311710798,0.14219111498117196,-0.149609939291261,-0.3837929931225725,0.14579443433175604,0.6674411976278671,0.09750005078040261,-0.02606952922297679,-0.05255928794741352,-0.23029666796209178,-0.456661309638517,-0.1936937513765918,-0.09362915484473153,0.09592830923288301,0.30371992856452207,-0.0496388583878369,-0.09434353015095451,-0.19210249708211316,0.4869895827849364
Estonia,-0.43258835622407643,-0.10348923560224346,0.1760631925868763,-0.14990635278273154,-0.243060490766855,-0.08207753156695399,0.2587944109189942,-0.5111099041331452,-0.11570372449745692,-0.21569455190176073,0.10940933239846425,0.33430780979832075,1.0,0.21823881646973167,-0.4378830807833626,-0.0365143090689148,0.00010168963686924295,-0.3505414228670466,0.007016744178276608,0.5176430795670995,0.32898799663140743,0.05787625586556792,-0.10610118562728621,0.4143139958262967,0.3915904875080081,0.006410583356479062,-0.07055264684596725,-0.2700406631837028,0.1140247491491332,0.42263435432623353,0.29656908625649975,0.10625351557893077,-0.22113896431990407,-0.18542850220547238,-0.05717778377062606,-0.06791382548386339,-0.1104110835757917,-0.07265645700502768,0.4456209264358521,-0.23990122600303543,-0.34413483657975397,0.06760298043170761,0.05204647162020289
Finland,-0.29224979647442795,-0.2840020773664267,0.20779575606930353,0.17748425345210464,-0.18144920226882164,-0.42841492538148357,-0.1268732070056225,-0.5359380572089394,0.1687379517582215,-0.2736787235747587,0.04775522023353203,0.24793308728800123,0.21823881646973167,1.0,-0.3342757874058896,-0.2642426771338577,0.1931612684362447,-0.4039463969732181,0.011086532240297238,0.3249362102963585,0.28895246253772267,0.026770337695026403,-0.1792788267647431,0.1892741627105677,0.10117511651445883,-0.10547166638189634,-0.2297721355630046,0.04760714608201543,0.14794182702020636,0.2505064243326631,0.1392172047875961,-0.17193959359159086,0.12259015295634755,-0.27572943766509966,-0.05049006857668358,0.18375100589206653,0.2153902287467039,-0.15682175711934718,0.5373694031984787,-0.0961872081740846,-0.21358123132386853,-0.028340724049324723,0.07320481390119102
France,0.2464810262284905,-0.06859333669952121,-0.23771071591700385,0.3090644769197064,0.05418714580647787,0.1127458642488983,0.23565990801916276,0.309415326642119,-0.11521156508510622,0.037713490821538326,-0.20636184608169922,-0.12346817184875356,-0.4378830807833626,-0.3342757874058896,1.0,0.2720992443709158,0.22221028408963864,0.11813539350059778,0.1264275956595783,-0.2422423652555789,-0.18854580020054332,0.06317792367068593,-0.10582181666732605,-0.3430179307664135,-0.13368692283146452,-0.06734890714769447,-0.09429202534264368,-0.08065583089529832,0.4603592651097825,-0.1634002856552641,-0.20665963120052702,-0.025239989507307364,0.01962162793298133,0.03973550123090181,-0.11649181996757489,-0.2808617820780245,-0.17341713212779922,0.2210000740324454,-0.23575337950164474,0.35350009810007454,0.086027427646759,-0.08597420425556204,-0.11616339795749644
Georgia,-0.06662988834045244,-0.028023427007855435,-0.34598268837456764,-0.0476958055008779,0.07999585905997574,0.021219252918627075,0.0064960953826389365,0.20195437664497784,-0.12308808508373176,-0.004101078402460257,0.0038181356238584283,-0.31485876999251006,-0.0365143090689148,-0.2642426771338577,0.2720992443709158,1.0,-0.12818592464123754,-0.02177550061299303,-0.23529047844086728,-0.23211996651093997,0.04280820538021968,0.04689043324562203,0.10833397621764848,0.23218749776447445,0.16935671937218855,-0.15344892975933183,0.1991816814619629,-0.08714146564038554,-0.0045218243822722015,-0.2071089794853932,0.08417863806515345,0.05690442004449802,-0.15632607714180718,0.5275940667135294,0.10888799895326354,-0.20562959870853315,-0.20929449274748174,-0.0051878267600177505,-0.30467481694599036,-0.3223885075804977,0.14249622617003788,0.3674946303072077,-0.19464890207973776
Germany,0.15192807763336053,-0.2442094557005269,-0.04166336043799462,0.30908360219384384,0.0382404876055133,-0.186883943969755,0.32647728626475375,-0.051346138796883614,-0.10483996645260524,-0.10980174352035597,-0.31045243921031174,0.06598745477303636,0.00010168963686924295,0.1931612684362447,0.22221028408963864,-0.12818592464123754,1.0,-0.16426456527576425,0.005229447893212294,0.22462959288355802,0.12951159993700656,-0.15703598386836168,-0.26769389426268797,-0.3185981691561266,-0.04326301688406857,-0.04318677219841782,-0.3905878949388518,0.08744945620359193,0.4056330801150098,-0.029615637499410676,-0.2639308512647936,-0.28013484186985604,-0.06467569449564617,-0.17316193010510772,-0.08654651035787903,0.0537149350446347,0.14841753897241053,-0.23751788885062478,0.34541602595703197,0.19497195848369375,-0.010394697255521449,-0.03967975791506269,0.27633312571927043
