From,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovenia,Spain,Sweden,Switzerland,Ukraine,United Kingdom
Albania,0.0,8.0,12.0,12.0,3.0,0.0,0.0,41.0,28.0,28.0,0.0,10.0,14.0,12.0,20.0,0.0,12.0,56.0,0.0,0.0,7.0,33.0,80.0,1.0,1.0,8.0,6.0,8.0,0.0,17.0,6.0,19.0,1.0,5.0,8.0,12.0,13.0,8.0,2.0,7.0,13.0,21.0,41.0,7.0
Armenia,13.0,0.0,14.0,16.0,0.0,0.0,5.0,29.0,7.0,45.0,6.0,9.0,24.0,15.0,49.0,13.0,5.0,36.0,3.0,0.0,2.0,20.0,13.0,1.0,9.0,0.0,7.0,17.0,0.0,6.0,0.0,11.0,6.0,22.0,13.0,12.0,0.0,6.0,0.0,8.0,25.0,18.0,36.0,1.0
Australia,6.0,5.0,0.0,13.0,1.0,0.0,19.0,35.0,22.0,21.0,15.0,33.0,9.0,42.0,15.0,1.0,2.0,18.0,0.0,10.0,24.0,41.0,8.0,2.0,3.0,0.0,25.0,26.0,0.0,6.0,0.0,41.0,10.0,7.0,27.0,5.0,5.0,20.0,1.0,8.0,47.0,19.0,26.0,20.0
Austria,16.0,11.0,21.0,0.0,0.0,0.0,8.0,24.0,40.0,1.0,12.0,6.0,8.0,15.0,7.0,0.0,32.0,2.0,8.0,1.0,6.0,32.0,44.0,0.0,4.0,7.0,2.0,25.0,0.0,14.0,0.0,25.0,23.0,13.0,23.0,8.0,0.0,27.0,0.0,1.0,22.0,17.0,43.0,8.0
Azerbaijan,13.0,0.0,16.0,10.0,0.0,5.0,8.0,30.0,12.0,36.0,12.0,10.0,8.0,31.0,15.0,6.0,0.0,4.0,14.0,0.0,4.0,72.0,34.0,1.0,0.0,0.0,20.0,12.0,0.0,7.0,3.0,23.0,4.0,8.0,21.0,30.0,13.0,6.0,5.0,12.0,28.0,31.0,55.0,8.0
Belarus,0.0,0.0,2.0,0.0,6.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,13.0,0.0,7.0,2.0,12.0,1.0,0.0,5.0,0.0,3.0,4.0,1.0,0.0
Belgium,12.0,18.0,8.0,6.0,0.0,0.0,0.0,25.0,13.0,0.0,5.0,0.0,10.0,31.0,43.0,0.0,0.0,23.0,1.0,5.0,3.0,47.0,32.0,0.0,9.0,1.0,4.0,34.0,0.0,35.0,0.0,9.0,57.0,17.0,24.0,6.0,0.0,11.0,0.0,6.0,35.0,10.0,37.0,3.0
Bulgaria,21.0,28.0,8.0,8.0,5.0,0.0,4.0,0.0,7.0,38.0,3.0,1.0,2.0,8.0,22.0,0.0,0.0,32.0,11.0,0.0,0.0,17.0,21.0,0.0,5.0,2.0,9.0,36.0,0.0,3.0,0.0,11.0,6.0,13.0,30.0,19.0,0.0,22.0,0.0,8.0,6.0,3.0,40.0,3.0
Croatia,26.0,8.0,9.0,15.0,0.0,0.0,5.0,16.0,0.0,0.0,3.0,0.0,20.0,22.0,12.0,0.0,3.0,7.0,15.0,1.0,5.0,10.0,44.0,0.0,9.0,0.0,0.0,37.0,10.0,4.0,0.0,21.0,11.0,16.0,11.0,8.0,0.0,55.0,30.0,7.0,26.0,1.0,43.0,0.0
Cyprus,5.0,24.0,24.0,6.0,0.0,0.0,8.0,63.0,5.0,0.0,13.0,0.0,14.0,14.0,36.0,0.0,3.0,82.0,4.0,0.0,2.0,57.0,50.0,0.0,16.0,1.0,8.0,13.0,0.0,7.0,0.0,19.0,19.0,7.0,35.0,23.0,0.0,19.0,0.0,12.0,22.0,15.0,64.0,6.0
